Window SummeReads
0.1 927 |['Analyse_100_10002_1_-1_$$_10000_2.0_20_.10000,.30000_pos.csv', 'Analyse_100_10002_1_-1_$$_10000_2.0_20_0,.20000_pos.csv', 'Analyse_100_10002_1_-1_$$_10000_3.0_20_.10000,.30000_pos.csv', 'Analyse_100_10002_1_-1_$$_10000_3.0_20_0,.10000_.90000,1_pos.csv', 'Analyse_100_10002_1_-1_$$_10000_3.0_20_0,.20000_pos.csv', 'Analyse_100_10002_1_-1_$$_10000_4.0_20_.10000,.30000_pos.csv', 'Analyse_100_10002_1_-1_$$_10000_4.0_20_0,.10000_.90000,1_pos.csv', 'Analyse_100_10002_1_-1_$$_10000_4.0_20_0,.20000_pos.csv']| |[-145, -110, -152, -10, -168, -165, -7, -180]| |['Analyse_100_10001_100_-0.2_$$_10000_2.0_80_.20000,1.00000_pos.csv', 'Analyse_100_10001_100_-0.2_$$_10000_3.0_80_.20000,1.00000_pos.csv', 'Analyse_100_10001_100_-0.2_$$_10000_4.0_80_.20000,1.00000_pos.csv', 'Analyse_100_10001_100_-0.2_$$_10000_4.0_80_.30000,1_0.0,.10000_pos.csv', 'Analyse_100_10002_1_-1_$$_10000_2.0_20_0,.10000_.90000,1_pos.csv']| |[480, 415, 432, 535, 2]|
0.11 1862 |['Analyse_100_10002_1_-1_$$_10000_2.0_20_.10000,.30000_pos.csv', 'Analyse_100_10002_1_-1_$$_10000_2.0_20_0,.20000_pos.csv', 'Analyse_100_10002_1_-1_$$_10000_3.0_20_.10000,.30000_pos.csv', 'Analyse_100_10002_1_-1_$$_10000_3.0_20_0,.20000_pos.csv', 'Analyse_100_10002_1_-1_$$_10000_4.0_20_.10000,.30000_pos.csv', 'Analyse_100_10002_1_-1_$$_10000_4.0_20_0,.20000_pos.csv']| |[-142, -106, -152, -170, -156, -173]| |['Analyse_100_10001_100_-0.2_$$_10000_2.0_80_.20000,1.00000_pos.csv', 'Analyse_100_10001_100_-0.2_$$_10000_2.0_80_.30000,1_0.0,.10000_pos.csv', 'Analyse_100_10001_100_-0.2_$$_10000_3.0_80_.20000,1.00000_pos.csv', 'Analyse_100_10001_100_-0.2_$$_10000_3.0_80_.30000,1_0.0,.10000_pos.csv', 'Analyse_100_10001_100_-0.2_$$_10000_4.0_80_.20000,1.00000_pos.csv', 'Analyse_100_10001_100_-0.2_$$_10000_4.0_80_.30000,1_0.0,.10000_pos.csv']| |[451, 449, 411, 483, 404, 563]|
0.12 1778 |['Analyse_100_10002_1_-1_$$_10000_2.0_20_.10000,.30000_pos.csv', 'Analyse_100_10002_1_-1_$$_10000_2.0_20_0,.20000_pos.csv', 'Analyse_100_10002_1_-1_$$_10000_3.0_20_.10000,.30000_pos.csv', 'Analyse_100_10002_1_-1_$$_10000_3.0_20_0,.20000_pos.csv', 'Analyse_100_10002_1_-1_$$_10000_4.0_20_.10000,.30000_pos.csv', 'Analyse_100_10002_1_-1_$$_10000_4.0_20_0,.20000_pos.csv']| |[-139, -109, -151, -162, -157, -172]| |['Analyse_100_10001_100_-0.2_$$_10000_2.0_80_.20000,1.00000_pos.csv', 'Analyse_100_10001_100_-0.2_$$_10000_2.0_80_.30000,1_0.0,.10000_pos.csv', 'Analyse_100_10001_100_-0.2_$$_10000_3.0_80_.20000,1.00000_pos.csv', 'Analyse_100_10001_100_-0.2_$$_10000_3.0_80_.30000,1_0.0,.10000_pos.csv', 'Analyse_100_10001_100_-0.2_$$_10000_4.0_80_.20000,1.00000_pos.csv', 'Analyse_100_10001_100_-0.2_$$_10000_4.0_80_.30000,1_0.0,.10000_pos.csv']| |[412, 421, 416, 479, 429, 511]|
0.13 1878 |['Analyse_100_10002_1_-1_$$_10000_2.0_20_.10000,.30000_pos.csv', 'Analyse_100_10002_1_-1_$$_10000_2.0_20_0,.20000_pos.csv', 'Analyse_100_10002_1_-1_$$_10000_3.0_20_.10000,.30000_pos.csv', 'Analyse_100_10002_1_-1_$$_10000_3.0_20_0,.20000_pos.csv', 'Analyse_100_10002_1_-1_$$_10000_4.0_20_.10000,.30000_pos.csv', 'Analyse_100_10002_1_-1_$$_10000_4.0_20_0,.20000_pos.csv']| |[-137, -108, -148, -160, -156, -165]| |['Analyse_100_10001_100_-0.2_$$_10000_2.0_80_.20000,1.00000_pos.csv', 'Analyse_100_10001_100_-0.2_$$_10000_2.0_80_.30000,1_0.0,.10000_pos.csv', 'Analyse_100_10001_100_-0.2_$$_10000_3.0_80_.20000,1.00000_pos.csv', 'Analyse_100_10001_100_-0.2_$$_10000_3.0_80_.30000,1_0.0,.10000_pos.csv', 'Analyse_100_10001_100_-0.2_$$_10000_4.0_80_.20000,1.00000_pos.csv', 'Analyse_100_10001_100_-0.2_$$_10000_4.0_80_.30000,1_0.0,.10000_pos.csv']| |[482, 444, 420, 509, 410, 487]|
0.14 1830 |['Analyse_100_10002_1_-1_$$_10000_2.0_20_.10000,.30000_pos.csv', 'Analyse_100_10002_1_-1_$$_10000_2.0_20_0,.20000_pos.csv', 'Analyse_100_10002_1_-1_$$_10000_3.0_20_.10000,.30000_pos.csv', 'Analyse_100_10002_1_-1_$$_10000_3.0_20_0,.20000_pos.csv', 'Analyse_100_10002_1_-1_$$_10000_4.0_20_.10000,.30000_pos.csv', 'Analyse_100_10002_1_-1_$$_10000_4.0_20_0,.20000_pos.csv']| |[-134, -108, -139, -153, -151, -162]| |['Analyse_100_10001_100_-0.2_$$_10000_2.0_80_.20000,1.00000_pos.csv', 'Analyse_100_10001_100_-0.2_$$_10000_2.0_80_.30000,1_0.0,.10000_pos.csv', 'Analyse_100_10001_100_-0.2_$$_10000_3.0_80_.20000,1.00000_pos.csv', 'Analyse_100_10001_100_-0.2_$$_10000_3.0_80_.30000,1_0.0,.10000_pos.csv', 'Analyse_100_10001_100_-0.2_$$_10000_4.0_80_.20000,1.00000_pos.csv', 'Analyse_100_10001_100_-0.2_$$_10000_4.0_80_.30000,1_0.0,.10000_pos.csv']| |[405, 436, 436, 443, 460, 497]|
0.15 1762 |['Analyse_100_10002_1_-1_$$_10000_2.0_20_.10000,.30000_pos.csv', 'Analyse_100_10002_1_-1_$$_10000_2.0_20_0,.20000_pos.csv', 'Analyse_100_10002_1_-1_$$_10000_3.0_20_.10000,.30000_pos.csv', 'Analyse_100_10002_1_-1_$$_10000_3.0_20_0,.20000_pos.csv', 'Analyse_100_10002_1_-1_$$_10000_4.0_20_.10000,.30000_pos.csv', 'Analyse_100_10002_1_-1_$$_10000_4.0_20_0,.20000_pos.csv']| |[-131, -106, -139, -157, -150, -162]| |['Analyse_100_10001_100_-0.2_$$_10000_2.0_80_.20000,1.00000_pos.csv', 'Analyse_100_10001_100_-0.2_$$_10000_2.0_80_.30000,1_0.0,.10000_pos.csv', 'Analyse_100_10001_100_-0.2_$$_10000_3.0_80_.20000,1.00000_pos.csv', 'Analyse_100_10001_100_-0.2_$$_10000_3.0_80_.30000,1_0.0,.10000_pos.csv', 'Analyse_100_10001_100_-0.2_$$_10000_4.0_80_.20000,1.00000_pos.csv', 'Analyse_100_10001_100_-0.2_$$_10000_4.0_80_.30000,1_0.0,.10000_pos.csv']| |[417, 420, 435, 470, 394, 471]|
0.16 1768 |['Analyse_100_10002_1_-1_$$_10000_2.0_20_.10000,.30000_pos.csv', 'Analyse_100_10002_1_-1_$$_10000_2.0_20_0,.20000_pos.csv', 'Analyse_100_10002_1_-1_$$_10000_3.0_20_.10000,.30000_pos.csv', 'Analyse_100_10002_1_-1_$$_10000_3.0_20_0,.20000_pos.csv', 'Analyse_100_10002_1_-1_$$_10000_4.0_20_.10000,.30000_pos.csv', 'Analyse_100_10002_1_-1_$$_10000_4.0_20_0,.20000_pos.csv']| |[-133, -108, -140, -154, -149, -155]| |['Analyse_100_10001_100_-0.2_$$_10000_2.0_80_.20000,1.00000_pos.csv', 'Analyse_100_10001_100_-0.2_$$_10000_2.0_80_.30000,1_0.0,.10000_pos.csv', 'Analyse_100_10001_100_-0.2_$$_10000_3.0_80_.20000,1.00000_pos.csv', 'Analyse_100_10001_100_-0.2_$$_10000_3.0_80_.30000,1_0.0,.10000_pos.csv', 'Analyse_100_10001_100_-0.2_$$_10000_4.0_80_.20000,1.00000_pos.csv', 'Analyse_100_10001_100_-0.2_$$_10000_4.0_80_.30000,1_0.0,.10000_pos.csv']| |[400, 443, 422, 448, 410, 484]|
0.17 1748 |['Analyse_100_10002_1_-1_$$_10000_2.0_20_.10000,.30000_pos.csv', 'Analyse_100_10002_1_-1_$$_10000_2.0_20_0,.20000_pos.csv', 'Analyse_100_10002_1_-1_$$_10000_3.0_20_.10000,.30000_pos.csv', 'Analyse_100_10002_1_-1_$$_10000_3.0_20_0,.20000_pos.csv', 'Analyse_100_10002_1_-1_$$_10000_4.0_20_.10000,.30000_pos.csv', 'Analyse_100_10002_1_-1_$$_10000_4.0_20_0,.20000_pos.csv']| |[-131, -108, -142, -148, -142, -151]| |['Analyse_100_10001_100_-0.2_$$_10000_2.0_80_.20000,1.00000_pos.csv', 'Analyse_100_10001_100_-0.2_$$_10000_2.0_80_.30000,1_0.0,.10000_pos.csv', 'Analyse_100_10001_100_-0.2_$$_10000_3.0_80_.20000,1.00000_pos.csv', 'Analyse_100_10001_100_-0.2_$$_10000_3.0_80_.30000,1_0.0,.10000_pos.csv', 'Analyse_100_10001_100_-0.2_$$_10000_4.0_80_.20000,1.00000_pos.csv', 'Analyse_100_10001_100_-0.2_$$_10000_4.0_80_.30000,1_0.0,.10000_pos.csv']| |[409, 458, 420, 428, 367, 488]|
0.18 1724 |['Analyse_100_10002_1_-1_$$_10000_2.0_20_.10000,.30000_pos.csv', 'Analyse_100_10002_1_-1_$$_10000_2.0_20_0,.20000_pos.csv', 'Analyse_100_10002_1_-1_$$_10000_3.0_20_.10000,.30000_pos.csv', 'Analyse_100_10002_1_-1_$$_10000_3.0_20_0,.20000_pos.csv', 'Analyse_100_10002_1_-1_$$_10000_4.0_20_.10000,.30000_pos.csv', 'Analyse_100_10002_1_-1_$$_10000_4.0_20_0,.20000_pos.csv']| |[-130, -107, -138, -152, -141, -151]| |['Analyse_100_10001_100_-0.2_$$_10000_2.0_80_.20000,1.00000_pos.csv', 'Analyse_100_10001_100_-0.2_$$_10000_2.0_80_.30000,1_0.0,.10000_pos.csv', 'Analyse_100_10001_100_-0.2_$$_10000_3.0_80_.20000,1.00000_pos.csv', 'Analyse_100_10001_100_-0.2_$$_10000_3.0_80_.30000,1_0.0,.10000_pos.csv', 'Analyse_100_10001_100_-0.2_$$_10000_4.0_80_.20000,1.00000_pos.csv', 'Analyse_100_10001_100_-0.2_$$_10000_4.0_80_.30000,1_0.0,.10000_pos.csv']| |[443, 436, 383, 445, 373, 463]|
0.19 1613 |['Analyse_100_10002_1_-1_$$_10000_2.0_20_.10000,.30000_pos.csv', 'Analyse_100_10002_1_-1_$$_10000_2.0_20_0,.20000_pos.csv', 'Analyse_100_10002_1_-1_$$_10000_3.0_20_.10000,.30000_pos.csv', 'Analyse_100_10002_1_-1_$$_10000_3.0_20_0,.20000_pos.csv', 'Analyse_100_10002_1_-1_$$_10000_4.0_20_.10000,.30000_pos.csv', 'Analyse_100_10002_1_-1_$$_10000_4.0_20_0,.20000_pos.csv']| |[-130, -108, -137, -143, -139, -150]| |['Analyse_100_10001_100_-0.2_$$_10000_2.0_80_.20000,1.00000_pos.csv', 'Analyse_100_10001_100_-0.2_$$_10000_2.0_80_.30000,1_0.0,.10000_pos.csv', 'Analyse_100_10001_100_-0.2_$$_10000_3.0_80_.20000,1.00000_pos.csv', 'Analyse_100_10001_100_-0.2_$$_10000_3.0_80_.30000,1_0.0,.10000_pos.csv', 'Analyse_100_10001_100_-0.2_$$_10000_4.0_80_.20000,1.00000_pos.csv', 'Analyse_100_10001_100_-0.2_$$_10000_4.0_80_.30000,1_0.0,.10000_pos.csv']| |[377, 442, 367, 437, 362, 435]|
