0.152 -35.471082806888916 18.4%
0.148 -11.544517761736337 73.48%
0.14400000000000002 -43.61795271658375 0.0%
0.16 13.675787102805913 131.56%
0.156 -24.3976478520415 43.78%
0.228 0.9241813352119763 102.19%
0.224 -22.149253619635438 47.45%
0.672 -29.13717785588652 25.55%
0.668 -24.052271139762574 38.41%
0.664 -33.96736442363863 12.83%
0.68 -22.306991288134412 43.24%
0.676 -16.222084572010466 58.64%
0.6880000000000001 7.5231952796176955 119.05%
0.684 -32.39189800425836 17.77%
0.744 2.334501253882472 105.74%
0.74 -36.58059202999358 9.85%
