0.196 -42.53473802761984 8.59%
0.192 -44.8961706138698 4.26%
0.188 -43.25760320011977 8.46%
0.184 -43.619035786369736 8.4%
0.18 -47.9804683726197 0.0%
0.176 -47.34190095886966 2.06%
0.224 -18.004709923870088 59.08%
0.22 -42.366142510120056 4.5%
0.216 -43.72757509637002 2.23%
0.212 -41.08900768261998 8.87%
0.20800000000000002 -43.45044026886994 4.4%
0.20400000000000001 -44.81187285511991 2.18%
0.2 -42.17330544136988 8.66%
0.468 1.042677837377724 104.74%
0.464 0.6812452511277627 103.05%
0.484 -8.511591817622424 58.5%
0.48 -4.873024403872385 76.65%
0.47600000000000003 -9.234456990122347 56.51%
0.492 3.2112733548775054 116.22%
0.488 -1.1501592313724558 94.29%
0.496 -2.4272940588725263 87.5%
0.504 -1.0358923230309145 94.82%
0.5 -6.661978350662302 66.11%
0.512 0.21627973223186814 101.04%
0.508 -2.4098062953995196 88.19%
0.52 -3.5315482125053492 83.59%
0.516 -3.157634240136737 85.07%
