0.605 190.32573964163078 1730.3%
0.61 202.43106438409666 1849.78%
0.615 177.53638912656254 1648.69%
0.62 221.6417138690284 2051.36%
0.625 211.74703861149428 1981.7%
0.63 189.85236335396013 1803.07%
0.635 194.957688096426 1865.55%
0.64 207.0630128388919 1993.23%
0.645 211.16833758135775 2049.54%
0.65 192.27366232382363 1892.53%
0.655 217.3789870662895 2146.68%
0.66 185.48431180875536 1863.88%
0.665 213.58963655122125 2151.7%
0.67 208.6949612936871 2125.17%
0.675 201.80028603615298 2078.48%
0.68 235.90561077861886 2436.99%
0.685 195.01093552108472 2052.24%
0.6900000000000001 213.1162602635506 2256.23%
0.6950000000000001 227.22158500601645 2423.7%
0.7000000000000001 220.32690974848234 2377.73%
0.705 226.43223449094822 2466.61%
0.71 257.5375592334141 2821.68%
0.715 213.64288397587995 2383.21%
0.72 223.7482087183458 2518.43%
0.725 225.8535334608117 2569.29%
0.73 208.95885820327757 2411.19%
0.735 223.06418294574343 2596.29%
0.74 222.1695076882093 2615.93%
0.745 257.2748324306752 3048.65%
0.75 241.38015717314104 2900.28%
0.755 230.48548191560693 2806.97%
0.76 258.5908066580728 3175.09%
0.765 249.69613140053866 3106.98%
0.77 241.80145614300454 3049.32%
0.775 248.9067808854704 3175.49%
0.78 242.01210562793628 3129.73%
0.785 268.11743037040213 3501.39%
0.79 256.222755112868 3394.51%
0.795 265.3280798553339 3558.43%
