0.452 0.6412407906213886 102.74%
0.448 -3.832783028959824 83.91%
0.48 -1.040592472310145 94.8%
0.47600000000000003 -1.5146162918913504 92.61%
0.604 -29.698111582769194 9.17%
0.6 -30.242334323935204 6.2%
0.596 0.21344293489880073 100.67%
0.672 -39.44632498294718 2.47%
0.668 -37.99054772411319 5.0%
0.664 -37.53477046527919 5.05%
0.66 -36.07899320644518 7.67%
0.656 -36.62321594761119 5.17%
0.652 -36.16743868877719 5.24%
0.648 -33.711661429943184 10.6%
0.644 -33.255884171109194 10.73%
0.64 -34.80010691227519 5.43%
0.636 -32.344329653441186 11.0%
0.632 -33.888552394607196 5.57%
0.628 -33.43277513577319 5.64%
0.624 -33.97699787693919 2.85%
0.62 -31.521220618105197 8.69%
0.616 -31.065443359271192 8.8%
0.612 -32.6096661004372 2.97%
0.608 -31.153888841603198 6.03%
0.748 -46.10609290079315 6.1%
0.744 -46.65031564195916 4.11%
0.74 -47.194538383125156 2.07%
0.736 -45.738761124291166 4.18%
0.732 -45.28298386545716 4.22%
0.728 -42.82720660662316 8.54%
0.724 -46.37142934778917 0.0%
0.72 -41.91565208895516 8.71%
0.716 -39.45987483012116 13.19%
0.712 -43.00409757128717 4.44%
0.708 -41.548320312453164 6.73%
0.704 -43.09254305361916 2.26%
0.7000000000000001 -41.636765794785184 4.58%
0.6960000000000001 -41.18098853595118 4.63%
0.6920000000000001 -41.725211277117175 2.34%
0.6880000000000001 -40.269434018283185 4.73%
0.684 -39.81365675944918 4.78%
0.68 -38.35787950061518 7.25%
0.676 -40.902102241781186 0.0%
0.8 -4.03119726563515 92.67%
0.796 -51.575420006801146 5.49%
0.792 -54.11964274796714 0.0%
0.788 -51.66386548913315 3.72%
0.784 -53.20808823029915 0.0%
0.78 -49.75231097146516 5.68%
0.776 -52.29653371263115 0.0%
0.772 -50.84075645379715 1.92%
0.768 -51.38497919496316 0.0%
0.764 -49.929201936129154 1.96%
0.76 -49.47342467729515 1.98%
0.756 -47.01764741846116 5.99%
0.752 -48.561870159627155 2.01%
